text_key,zh_TW,en,notes
winley_park_intro,"當你還在猶豫要不要上前打招呼時，@@.npc-winley;溫莉@@就已經先注意到你。<br><br>@@.npc-winley;「啊，早安！」@@她眼睛一亮，急著站起身，卻一時忘了放在大腿上的手帳。@@.npc-winley;「噢，該死！」@@她慌忙蹲下身撿起手帳，連架在鼻樑上的圓框眼鏡也順勢滑落到地上。<br><br>你走上前，幫忙撿起眼鏡遞還給她。<br><br>@@.npc-winley;「謝謝你，我總是這麼笨手笨腳的。」@@她不好意思地笑著接過，重新戴好眼鏡。@@.npc-winley;「早上的公園空氣真好，對吧？」@@<br><br>你點了點頭。看著她手裡的手帳，你心中有些好奇，但考慮到兩人剛認識不久，又不確定冒昧打聽合不合適。<br><br>溫莉似乎看出了你的猶豫，主動揚了揚手中的手帳說明：@@.npc-winley;「我在做研究，紀錄這裡每天的早晨。」@@<br><br>「……研究……什麼呢？」你順著問道。<br><br>@@.npc-winley;「我在記錄公園裡的鳥類行為模式。你不覺得這裡的麻雀規律得有點神奇嗎？每天早上同一時間、相同數量的麻雀，都會飛到完全一樣的地方。」@@她指向不遠處的噴水池，@@.npc-winley;「連牠們在原地跳躍的次數都一模一樣。」@@<br><br>你順著溫莉手指的方向望向噴水池，但在你眼裡，那不過就是一群普通跳來跳去的麻雀，完全看不出什麼特別之處。嗯……<br><br>溫莉餘光瞥見公園圓柱上的大時鐘，@@.npc-winley;「啊，時間差不多了，我該去準備開店了。很高興見到你！」@@她一邊熱情地向你揮手，一邊腳步輕快地倒退著離開。",,已從 NPC_Winley.twee 遷移
winley_park_coffee_first,"今天@@.npc-winley;溫莉@@的手裡除了那本快被翻爛的手帳外，還多了一杯咖啡，你看見她臉上綻開笑容，向你揮手。<br>你也友善地向溫莉揮手。<br><br>@@.npc-winley;「早安。今天的空氣很適合慢慢喝杯咖啡呢。」@@<br><br>你們並肩坐下，一同度過了一個美好的早晨。",,第一次咖啡日常
winley_park_coffee_second,"今天@@.npc-winley;溫莉@@的手裡除了那本快被翻爛的手帳外，還多了一杯咖啡，你看見她臉上綻開笑容，向你揮手。<br>她差點把咖啡打翻，你替她緊張了一下。<br><br>@@.npc-winley;「早安。今天的空氣很適合慢慢喝杯咖啡呢。」@@<br><br>你們並肩坐下，一同度過了一個美好的早晨。",,第二次咖啡日常
winley_park_coffee_later,"今天@@.npc-winley;溫莉@@的手裡除了那本快被翻爛的手帳外，還多了一杯咖啡，你看見她臉上綻開笑容，向你揮手。<br>你意識到她總是能先發現你。<br><br>@@.npc-winley;「早安。今天的空氣很適合慢慢喝杯咖啡呢。」@@<br><br>你們並肩坐下，一同度過了一個美好的早晨。",,第三次後咖啡日常
winley_park_walk,"溫莉從長椅上起身，稍微活動了一下肩膀。<br><br>@@.npc-winley;「在開店以前來公園走一走，精神會好很多。」@@",,日常事件
winley_park_affection_30,"溫莉看見你時，露出了比平常更放鬆的笑容。<br><br>@@.npc-winley;「能在開店前見到你，讓今天感覺是個好日子。」@@",,好感 30 事件
robber_intro,"暗處突然衝出一個持刀的搶匪！<br><br>「把身上的錢通通交出來！」搶匪惡狠狠地盯著你。",,搶匪事件開場
robber_no_money_intro,"暗處突然衝出一個持刀的搶匪！你摸遍口袋，卻找不到半毛錢。",,零金錢開場
robber_no_money_leave,"搶匪不敢相信地翻了翻你的口袋，最後不屑地嗤笑一聲。<br>「窮成這樣還敢在街上晃？」他丟下這句話後離開了。",,零金錢分支
robber_no_money_attack,"搶匪發現你身無分文，惱羞成怒地推了你一把，還狠狠踹了你幾腳才離開。",,零金錢分支
robber_escape_strong,"你咬緊牙關，邁開大腿全力往前奔跑！<br>憑藉著充沛的體力，你很快就把搶匪甩得遠遠的，順利脫身！",,搶匪逃跑分支
robber_escape_lucky,"你的體力有些吃緊，但幸運的是，路邊剛好有一堆障礙物倒下擋住了搶匪的去路！<br>你成功趁亂甩掉了搶匪！",,搶匪逃跑分支
robber_escape_fail,"你氣喘吁吁，沒跑幾步就被搶匪從背後追上並撲倒在地！<br>搶匪狠狠踢了你一腳，把你身上的錢全搶走了！",,搶匪逃跑分支
robber_combat_intro,"你決定不再退讓，擺出架勢迎戰搶匪！",,搶匪戰鬥開場
robber_combat_victory,"你抓準空檔反擊，成功制服搶匪！他狼狽逃走，還留下了一疊鈔票。",,搶匪戰鬥分支
robber_combat_defeat,"你奮力抵抗，但仍被搶匪擊倒。他搜走你身上所有金錢後揚長而去。",,搶匪戰鬥分支
rent_debt,"@@.npc-joel;「……我記得房租不是這個數字吧。」@@<br><br>@@.npc-joel;喬爾@@眉心擠出一道深深的褶皺，神情極其不悅。你頓時感到一陣沉重的壓迫感，彷彿自己真的讓他非常失望。<br>@@.npc-joel;「我給你三天時間。」喬爾@@深深嘆了一口氣，冷冷地說：@@.npc-joel;「把剩下的租金補齊。」@@",,欠租事件
rent_no_money,"你目前沒有可繳的金錢。",,繳租結果
rent_paid,"你繳了 {{value:rentPayment}} 元房租。",,繳租結果
rent_remaining,"還差 {{value:rentDebt}} 元。",,繳租結果
rent_cleared,"房租已補齊。",,繳租結果
rent_evicted,"玩家被趕出去了",,欠租驅逐
park_sleep_no_home,"你現在還有住處，沒有必要露宿公園。",,露宿檢查
park_sleep_intro,"你沒有地方可住，只能在公園找個角落過夜。這裡非常危險。",,露宿事件
park_sleep_event,"你在公園睡覺時遇上了麻煩。",,露宿事件
park_sleep_result,"你勉強撐過了一晚，卻完全沒有睡好。",,露宿結果
joel_reputation_eviction,"@@.npc-joel;喬爾@@站在你面前，深吸了一口菸，隨手將火星閃爍的菸蒂扔在腳邊，用鞋尖狠狠碾熄。<br>@@.npc-joel;「我自認不算什麼好人，平常也懶得過問你那些爛事。」喬爾@@盯著你看，臉上沒有任何情緒起伏，你讀不懂他的表情。<br>@@.npc-joel;「一個警察房東，卻將房子租給罪犯房客，這像話嗎？」@@<br><br>他朝你攤開掌心。你心領神會，只能默默將鑰匙交還給他。<br><br>@@.npc-joel;「看來你並不怎麼在意自己的名聲，嗯？」喬爾@@接過鑰匙收進口袋，語氣冷淡。<br>@@.npc-joel;「把東西收一收，給我走人。」@@他離開前，抬手用食指點了點你單薄的家當。<br><br>在@@.npc-joel;喬爾@@那如芒刺在背的死亡注視下，你總算硬著頭皮把行李收拾乾淨。後路在何方，你心裡一點底也沒有。<br>@@.npc-joel;「想找地方住？市區那邊還有不少空房。」@@喬爾側過身，冷冷地說：@@.npc-joel;「房租比這裡貴上幾倍。沒錢你也可以選擇去睡公園。」@@",,聲望驅逐
faint_home,"你的體力耗盡，在家中昏倒了。休息一陣子後，你在自己的床上醒來，體力已完全恢復。",,昏倒結果
faint_safe,"你的體力耗盡，在安全場所昏倒了。有人將你送往醫院；醒來時體力已完全恢復，並支付了 {{value:faintHospitalFeePaid}} 元看診費。",,昏倒結果
faint_outside,"你的體力耗盡，在外頭昏倒了。醒來時，你已經回到家中，卻發現身上的錢被洗劫一空；體力已完全恢復。",,昏倒結果
relationship_prompt,"你與 {{npc:contextNpcId}} 的關係，似乎已經不只是普通朋友。<br><br>對方認真地望著你，等待你的回答。",,共用關係確認
relationship_accept,"你接受了與 {{npc:contextNpcId}} 改變關係的可能。你們之間累積的好感，從此化為愛意。",,共用關係確認
relationship_decline,"你選擇暫時和 {{npc:contextNpcId}} 維持朋友關係。",,共用關係確認
breakup_prompt,"你確定要結束和 {{npc:contextNpcId}} 的關係嗎？這會讓愛意轉回好感，且好感將大幅降低。",,共用關係確認
breakup_result,"你與 {{npc:contextNpcId}} 的關係回到了朋友。愛意已轉為大幅降低後的好感。",,共用關係確認
tv_bad_disaster,"這部片簡直是災難……你看完後覺得生命被浪費了。",,電視隨機文本
tv_bad_absurd,"劇情極度荒謬，你甚至開始懷疑編劇的大腦結構。",,電視隨機文本
tv_bad_boring,"非常無聊的節目，你看得昏昏欲睡。",,電視隨機文本
tv_good_exciting,"這部影集太精彩了！你看得津津有味。",,電視隨機文本
tv_good_immersive,"劇情高潮迭起，讓你完全沉浸在故事裡面！",,電視隨機文本
tv_good_masterpiece,"這是一部難得一見的神作，看完讓人意猶未盡。",,電視隨機文本
joel_first_meeting,"為了展開全新的生活，你決定一個人搬進這間公寓。<br><br>@@.npc-joel;「你的鑰匙，拿著。」@@<br><br>站在面前的房東身材魁梧，留著一頭夾雜些許銀灰的俐落短髮，下巴有些鬍渣。你記得他叫@@.npc-joel;喬爾@@，正職是一名警察，而這也是你當初選擇這裡的原因。畢竟，房東是警察，安全感直接拉滿，對吧？<br>你伸手準備接過鑰匙，喬爾卻沒有放開的意思，雙眼反而直勾勾地盯著你看。<br><br>@@.npc-joel;「這間房子曾屬於我過世的妻子……你懂我的意思對吧？」@@<br>//嗯？我懂嗎？// ──你在心裡狂打問號。<br><br>你迎上他的視線，那雙眼睛像是可以隨時把你處理掉。他是警察。你在內心提醒自己。<br>「絕對不能弄壞房子……對吧？」你小心翼翼地試探道。<br>聽到這句話，喬爾才鬆開手指，任由金屬鑰匙落入你的掌心。<br>@@.npc-joel;「每週房租八百元，別讓我花心思催你。」@@他語氣沉悶，略顯不耐。@@.npc-joel;「還有問題嗎？」@@<br><br>你連忙搖頭。<br><br>@@.npc-joel;「很好。」@@他轉身走到門口，手搭在門把上停頓了一下。@@.npc-joel;「……你有我的聯絡方式，要是發生什麼怪事，可以聯絡我。」@@<br>不等你細想「怪事」到底是指什麼，門已經在面前俐落地關上。",,開場主線劇情
